Date,v12_signal,v17_signal,calm_bull_trigger,spy_above_trend,spy_momentum_13w,spy_rv_26w,spy_rv_ref_55p,vix,vix_ma_52w,yc_pos_steep,t10y2y,t10y2y_chg_13w,tier_intersection,tier_cb_only,tier_yc_only,tier_nervous_market
2023-02-24,1.0,1.15,0,1,-0.010264612954500318,0.20892826867144956,0.1825831723974284,21.670000076293945,24.52769242800199,0,-0.83,-0.08999999999999997,0,0,0,1
2023-03-03,1.0,1.0,0,1,-0.0021231050399420637,0.20519675372515436,0.1825831723974284,18.489999771118164,24.268269355480488,0,-0.89,-0.12,0,0,0,0
2023-03-10,0.6,0.6,0,0,-0.014234058517190729,0.2089876713371462,0.1825831723974284,24.799999237060547,24.153846263885498,0,-0.9,-0.14,0,0,0,0
2023-03-17,1.3,1.3,0,1,0.021416663150505055,0.19840612701184213,0.1825831723974284,25.510000228881836,24.185384713686428,0,-0.42,0.26999999999999996,0,0,0,0
2023-03-24,1.0,1.15,0,1,0.03747726617456193,0.18682709146135804,0.1825831723974284,21.739999771118164,24.20326933493981,0,-0.38,0.18000000000000005,0,0,0,1
2023-03-31,1.0,1.0,0,1,0.07458219486873507,0.18534661397286586,0.1825831723974284,18.700000762939453,24.18538475036621,0,-0.58,-0.04999999999999993,0,0,0,0
2023-04-07,1.0,1.0,0,1,0.05842024835409898,0.18497938230780384,0.1826027731683728,18.399999618530273,24.132307822887714,0,-0.52,0.16999999999999993,0,0,0,0
2023-04-14,1.0,1.0,0,1,0.0389815132725817,0.18276249424415558,0.18262185075124096,17.06999969482422,24.024038571577805,0,-0.56,0.16999999999999993,0,0,0,0
2023-04-21,1.0,1.07,1,1,0.04519844384259586,0.17296074423357863,0.1816116294794795,16.770000457763672,23.804038597987248,0,-0.6,0.06000000000000005,0,1,0,0
2023-04-28,1.0,1.07,1,1,0.029179260564082155,0.16533331770007084,0.1816116294794795,15.779999732971191,23.4651924096621,0,-0.6,0.07000000000000006,0,1,0,0
2023-05-05,1.2,1.2,0,1,0.004497985159266138,0.1577598026658683,0.1816116294794795,17.190000534057617,23.2151924096621,0,-0.48,0.29000000000000004,0,0,0,0
2023-05-12,1.2,1.2,0,1,0.01254971331536292,0.13577700380382743,0.1816116294794795,17.030000686645508,22.987500099035408,0,-0.52,0.24,0,0,0,0
2023-05-19,1.0,1.07,1,1,0.03181648561013706,0.13692970487047504,0.1816116294794795,16.809999465942383,22.744807775204,0,-0.58,0.20000000000000007,0,1,0,0
2023-05-26,1.0,1.07,1,1,0.06368374615487049,0.13554219161386355,0.1816116294794795,17.950000762939453,22.595384726157555,0,-0.74,0.08999999999999997,0,1,0,0
2023-06-02,1.0,1.07,1,1,0.0627505207413237,0.13699320564684,0.1816116294794795,14.600000381469727,22.39942317742568,0,-0.81,0.07999999999999996,0,1,0,0
2023-06-09,1.0,1.07,1,1,0.11824190444074079,0.12639331859850644,0.1816116294794795,13.829999923706055,22.131730868266178,0,-0.84,0.06000000000000005,0,1,0,0
2023-06-16,1.0,1.07,1,1,0.13103516302062546,0.12461854742295597,0.1816116294794795,13.539999961853027,21.793461652902458,0,-0.93,-0.51,0,1,0,0
2023-06-23,1.0,1.07,1,1,0.0987219372261876,0.12747585045226115,0.1816116294794795,13.4399995803833,21.528269345943745,0,-0.97,-0.59,0,1,0,0
2023-06-30,1.0,1.07,1,1,0.08680362137760178,0.12958692051039672,0.1816116294794795,13.59000015258789,21.276153949590828,0,-1.06,-0.4800000000000001,0,1,0,0
2023-07-07,1.0,1.07,1,1,0.07573251801432623,0.1310493341230903,0.1816116294794795,14.829999923706055,21.08750011370732,0,-0.88,-0.36,0,1,0,0
2023-07-14,1.0,1.07,1,1,0.09331560310271336,0.1302700743879128,0.1816116294794795,13.34000015258789,20.878077048521774,0,-0.91,-0.35,0,1,0,0
2023-07-21,1.0,1.07,1,1,0.10106666209154636,0.12914549047846202,0.1816116294794795,13.600000381469727,20.696730888806858,0,-0.98,-0.38,0,1,0,0
2023-07-28,1.0,1.07,1,1,0.10263105626148694,0.12628171036525543,0.1816116294794795,13.329999923706055,20.5428847349607,0,-0.91,-0.31000000000000005,0,1,0,0
2023-08-04,1.0,1.07,1,1,0.086856859940317,0.13072943628147374,0.1816116294794795,17.100000381469727,20.465000134248,0,-0.73,-0.25,0,1,0,0
2023-08-11,1.0,1.07,1,1,0.08677413792332955,0.12944619835220375,0.1816116294794795,14.84000015258789,20.374807816285355,0,-0.73,-0.20999999999999996,0,1,0,0
2023-08-18,1.0,1.07,1,1,0.04658507949605295,0.13377392177368852,0.1816116294794795,17.299999237060547,20.311346255815945,0,-0.66,-0.08000000000000007,0,1,0,0
2023-08-25,1.0,1.07,1,1,0.05138887903148959,0.12647285874331904,0.1816116294794795,15.680000305175781,20.12134627195505,0,-0.78,-0.040000000000000036,0,1,0,0
2023-09-01,1.0,1.07,1,1,0.05829592158733221,0.12818081175891002,0.1816116294794795,13.09000015258789,19.88326936501723,0,-0.69,0.1200000000000001,0,1,0,0
2023-09-08,1.0,1.07,1,1,0.04018377735916756,0.10854830252018098,0.1816116294794795,13.84000015258789,19.711153965729935,0,-0.72,0.12,0,1,0,0
2023-09-15,1.0,1.07,1,1,0.012456127901443237,0.1082701737367051,0.1816116294794795,13.789999961853027,19.470577056591328,0,-0.69,0.2400000000000001,0,1,0,0
2023-09-22,1.0,1.0,0,1,-0.002935508235526796,0.1177463140503818,0.1816116294794795,17.200000762939453,19.225961685180664,0,-0.66,0.30999999999999994,0,0,0,0
2023-09-29,1.0,1.0,0,1,-0.0322415880655168,0.1094512958831485,0.1816116294794795,17.520000457763672,18.95480783169086,0,-0.44,0.6200000000000001,0,0,0,0
2023-10-06,1.0,1.0,0,1,-0.017090011481188605,0.10945225464367833,0.1816116294794795,17.450000762939453,18.687307834625244,0,-0.3,0.5800000000000001,0,0,0,0
2023-10-13,1.0,1.0,0,1,-0.03618669619002535,0.10918577998291341,0.1816116294794795,19.31999969482422,18.44307705072256,0,-0.41,0.5,0,0,0,0
2023-10-20,0.6,0.6,0,0,-0.06524906395108543,0.11519816074624956,0.1816116294794795,21.709999084472656,18.28961548438439,0,-0.14,0.84,0,0,0,0
2023-10-27,0.6,0.6,0,0,-0.09802919584873171,0.12032079592727135,0.1816116294794795,21.270000457763672,18.20346164703369,0,-0.15,0.76,0,0,0,0
2023-11-03,1.0,1.0,0,1,-0.023694049969858244,0.14534150577243962,0.1816116294794795,14.90999984741211,18.018077043386604,0,-0.26,0.47,0,0,0,0
2023-11-10,1.0,1.0,0,1,-0.007821942147532845,0.14597796367174135,0.1816116294794795,14.170000076293945,17.857500112973728,0,-0.43,0.3,0,0,0,0
2023-11-17,1.0,1.07,1,1,0.03638032679045011,0.14741966356062638,0.1816116294794795,13.800000190734863,17.67826933127183,0,-0.44,0.22000000000000003,0,1,0,0
2023-11-24,1.0,1.07,1,1,0.03849346766594097,0.1477216451956379,0.1816116294794795,12.460000038146973,17.52365394739004,0,-0.45,0.33,0,1,0,0
2023-12-01,1.2,1.2,0,1,0.021120643533766303,0.14621233225726765,0.1816116294794795,12.630000114440918,17.40000011370732,0,-0.34,0.3499999999999999,0,0,0,0
2023-12-08,1.2,1.2,0,1,0.03659386223291916,0.14620055716272898,0.1816116294794795,12.350000381469727,17.198461660972008,0,-0.48,0.24,0,0,0,0
2023-12-15,1.0,1.07,1,1,0.06284325374225586,0.14555560078650379,0.1816116294794795,12.279999732971191,16.99961548585158,0,-0.53,0.15999999999999992,0,1,0,0
2023-12-22,1.2,1.2,0,1,0.10489827431901566,0.14354055092386755,0.1816116294794795,13.029999732971191,16.84884623380808,0,-0.41,0.25000000000000006,0,0,0,0
