,v12_signal,v17_signal,calm_bull_trigger,spy_above_trend,spy_momentum_13w,spy_rv_26w,spy_rv_ref_55p,vix,vix_ma_52w,yc_pos_steep,t10y2y,t10y2y_chg_13w,tier_intersection,tier_cb_only,tier_cb_weak,tier_cb_strong,tier_yc_only,spy_ma20,spy_dd_52w,vix3m,vix_contango,hy_oas,hy_oas_ma_26w,hy_oas_chg_4w,credit_ok,tier_nervous_market
2010-10-29,1.0,1.3,0,1,0.08029705261662468,0.2088312100442788,0.2050628003226142,21.200000762939453,23.335576937748836,0,2.29,-0.10000000000000009,0,0,0,0,0,84.24141578674316,-0.017395274753738366,22.950000762939453,1,,,,0,1
2010-11-05,1.0,1.0,1,1,0.09775790858635203,0.1918035361877746,0.20438746059251237,18.260000228881836,23.22153847034161,0,2.2,-0.1599999999999997,0,1,1,0,0,84.68101959228515,0.0,20.65999984741211,1,,,,0,0
2010-11-12,1.0,1.4,1,1,0.11571910374160743,0.19281007202667838,0.20296580230022818,20.610000610351562,23.168653854956993,1,2.25,0.10999999999999988,1,0,0,0,0,85.1706916809082,-0.02053437661454549,22.93000030517578,1,,,,0,0
2010-11-19,1.0,1.4,1,1,0.12465308272327524,0.18129471556814555,0.20182567407428817,18.040000915527344,23.088846169985256,1,2.36,0.22999999999999998,1,0,0,0,0,85.87778663635254,-0.019801295658537166,21.399999618530273,1,,,,0,0
2010-11-26,1.0,1.4,1,1,0.11768691012027666,0.1828419628816566,0.20167090108055286,22.219999313354492,23.040384622720573,1,2.36,0.2599999999999998,1,0,0,0,0,86.31093864440918,-0.0319424728461456,21.809999465942383,0,,,,0,0
2010-12-03,1.0,1.4,1,1,0.11414841256835428,0.18321037579330188,0.20151612808681751,18.010000228881836,22.978076934814453,1,2.54,0.33999999999999986,1,0,0,0,0,86.9483570098877,0.0,21.0,1,,,,0,0
2010-12-10,1.0,1.4,1,1,0.1225908528653743,0.18099523038350615,0.20148287150972757,17.610000610351562,22.90153848207914,1,2.68,0.4500000000000002,1,0,0,0,0,87.50456962585449,0.0,19.84000015258789,1,,,,0,0
2010-12-17,1.0,1.4,1,1,0.11079812693267987,0.1790624440485491,0.20144961493263763,16.110000610351562,22.79442310333252,1,2.72,0.4500000000000002,1,0,0,0,0,88.08404312133788,0.0,20.290000915527344,1,,,,0,0
2010-12-24,1.0,1.4,1,1,0.09963850784499617,0.16954342672117134,0.2014341960627039,16.469999313354492,22.736730795640213,1,2.74,0.5700000000000003,1,0,0,0,0,88.63308753967286,0.0,20.440000534057617,1,,,,0,0
2010-12-31,1.0,1.4,1,1,0.10296962814322996,0.14596651543405947,0.20142387368052908,17.75,22.661153866694523,1,2.69,0.5699999999999998,1,0,0,0,0,89.34184951782227,0.0,20.899999618530273,1,,,,0,0
2011-01-07,1.0,1.4,1,1,0.09669363350092541,0.1281110894979428,0.20131761894689135,17.139999389648438,22.642115409557636,1,2.74,0.6800000000000002,1,0,0,0,0,90.13307304382325,0.0,20.290000915527344,1,,,,0,0
2011-01-14,1.0,1.4,1,1,0.10433313902216645,0.12575416099594697,0.20113461833208326,15.460000038146973,22.59500002861023,1,2.76,0.5399999999999996,1,0,0,0,0,91.03197975158692,0.0,18.3700008392334,1,,,,0,0
2011-01-21,1.0,1.4,1,1,0.09036858708369522,0.12088908280376424,0.20007431478940083,18.469999313354492,22.425000025675846,1,2.81,0.5699999999999998,1,0,0,0,0,91.74330368041993,-0.007192278778241468,19.969999313354492,1,,,,0,0
2011-01-28,1.0,1.4,1,1,0.08356577227307471,0.12150468575875041,0.19725940539096956,20.040000915527344,22.336923104066116,1,2.82,0.5299999999999998,1,0,0,0,0,92.40756187438964,-0.012219673368621953,20.59000015258789,1,,,,0,0
2011-02-04,1.0,1.4,1,1,0.07431322503766769,0.12366441294804523,0.194741090703537,15.930000305175781,22.14115386742812,1,2.91,0.71,1,0,0,0,0,93.1418067932129,0.0,18.329999923706055,1,,,,0,0
2011-02-11,1.0,1.4,1,1,0.11322811823183487,0.10686155937477661,0.1945955337040946,15.6899995803833,22.0057692527771,1,2.79,0.54,1,0,0,0,0,93.86240310668946,0.0,17.860000610351562,1,,,,0,0
2011-02-18,1.0,1.4,1,1,0.12426233703261347,0.10436763007605288,0.19444997670465217,16.43000030517578,21.936730788304256,1,2.81,0.4500000000000002,1,0,0,0,0,94.64513664245605,0.0,18.899999618530273,1,,,,0,0
